img,true_label,pred_label,confidence,hit
data/safe/safe34_1646.jpeg,safe,safe,"0,997",True
data/drugs/drugs4_0793.jpeg,drugs,drugs,"0,948",True
data/weapons/weapons43_0609.jpeg,weapons,weapons,"0,998",True
data/safe/frames/train/frame_NV_880_000003.jpg,safe,safe,"0,993",True
data/drugs/drugs4_1166.jpeg,drugs,drugs,"0,954",True
data/weapons/weapons43_0499.jpeg,weapons,weapons,"0,996",True
data/safe/frames/train/frame_NV_793_000002.jpg,safe,safe,"0,995",True
data/violence/frames/train/frame_V_781_000002.jpg,violence,violence,"1,000",True
data/violence/frames/train/frame_V_219_000003.jpg,violence,violence,"0,981",True
data/war/war35_0672.jpeg,war,war,"0,995",True
data/safe/frames/train/frame_NV_857_000001.jpg,safe,safe,"0,999",True
data/sexual/sexual34_1027.jpg,sexual,sexual,"1,000",True
data/violence/frames/train/frame_V_29_000003.jpg,violence,violence,"1,000",True
data/safe/safe34_0052.jpg,safe,safe,"0,994",True
data/violence/frames/train/frame_V_972_000002.jpg,violence,violence,"1,000",True
data/safe/frames/train/frame_NV_416_000003.jpg,safe,safe,"0,996",True
data/war/war35_1067.jpg,war,war,"1,000",True
data/drugs/drugs4_0460.jpg,drugs,drugs,"1,000",True
data/war/war35_0001.jpeg,war,war,"0,861",True
data/violence/frames/val/frame_V_917_000002.jpg,violence,violence,"1,000",True
data/drugs/drugs4_0665.jpeg,drugs,drugs,"0,600",True
data/safe/safe34_1915.jpeg,safe,safe,"0,993",True
data/violence/frames/train/frame_V_20_000002.jpg,violence,violence,"1,000",True
data/safe/safe34_2542.jpeg,safe,safe,"0,926",True
data/sexual/sexual34_1714.jpg,sexual,sexual,"1,000",True
data/violence/frames/train/frame_V_174_000003.jpg,violence,violence,"1,000",True
data/war/war35_0170.jpeg,war,war,"1,000",True
data/safe/frames/train/frame_NV_418_000002.jpg,safe,safe,"0,998",True
data/drugs/drugs4_0783.jpeg,drugs,drugs,"0,997",True
data/drugs/drugs4_1641.jpeg,drugs,drugs,"0,997",True
data/safe/safe34_2419.jpeg,safe,war,"0,998",False
data/sexual/sexual34_0320.jpg,sexual,sexual,"1,000",True
data/drugs/drugs4_1649.jpeg,drugs,drugs,"0,819",True
data/drugs/drugs4_1030.jpeg,drugs,drugs,"0,999",True
data/safe/safe34_1287.jpeg,safe,safe,"0,997",True
data/safe/frames/train/frame_NV_475_000001.jpg,safe,safe,"0,998",True
data/weapons/weapons43_0533.jpeg,weapons,weapons,"1,000",True
data/safe/safe34_1286.jpeg,safe,safe,"0,991",True
data/safe/frames/val/frame_NV_601_000002.jpg,safe,safe,"0,997",True
data/sexual/sexual34_0675.jpg,sexual,sexual,"1,000",True
data/safe/frames/val/frame_NV_489_000003.jpg,safe,safe,"0,999",True
data/weapons/weapons43_1258.jpg,weapons,weapons,"0,999",True
data/safe/safe34_0195.jpeg,safe,safe,"0,974",True
data/violence/frames/train/frame_V_464_000002.jpg,violence,violence,"1,000",True
data/safe/safe34_2268.jpeg,safe,safe,"0,962",True
data/safe/frames/train/frame_NV_908_000002.jpg,safe,safe,"0,993",True
data/safe/frames/test/frame_NV_801_000003.jpg,safe,safe,"1,000",True
data/violence/frames/train/frame_V_186_000003.jpg,violence,violence,"1,000",True
data/war/war35_0057.jpeg,war,war,"0,999",True
data/drugs/drugs4_0302.jpg,drugs,drugs,"1,000",True
